                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83188,                 1.3519,                 1.0397,                0.77406,                0.62787,                0.67107,                0.48969,                0.78288,                0.89026,                0.91832,             0.00055433,             0.00055433,             0.00055433
                      2,                0.82277,                0.85101,                 1.0296,                0.81177,                0.63943,                0.67788,                0.50154,                0.78949,                0.76841,                0.89679,               0.001055,               0.001055,               0.001055
                      3,                0.79179,                0.75944,                 1.0204,                0.87719,                 0.6716,                0.72824,                 0.5637,                0.70191,                0.62466,                0.87831,              0.0015008,              0.0015008,              0.0015008
                      4,                0.75699,                0.68711,                 1.0066,                0.77311,                0.63345,                0.68056,                0.53969,                0.66523,                0.62296,                0.85197,              0.0014195,              0.0014195,              0.0014195
                      5,                0.71101,                0.64049,                0.98867,                0.87032,                0.69118,                0.74763,                0.60279,                0.60062,                0.51964,                0.81924,              0.0014195,              0.0014195,              0.0014195
                      6,                0.67413,                0.58889,                0.97006,                0.91472,                0.71965,                0.78635,                0.63909,                0.57662,                0.47564,                0.80448,              0.0013369,              0.0013369,              0.0013369
                      7,                0.64604,                0.55462,                0.95839,                0.90158,                0.72823,                0.78739,                0.64077,                 0.5586,                0.46791,                0.81168,              0.0012544,              0.0012544,              0.0012544
                      8,                0.62158,                0.52963,                0.95134,                0.92506,                0.74298,                0.80369,                0.64933,                0.52468,                 0.4152,                0.78712,              0.0011719,              0.0011719,              0.0011719
                      9,                 0.5946,                0.49119,                0.93841,                0.89635,                0.75175,                0.80037,                0.65126,                0.51773,                0.43912,                0.79137,              0.0010894,              0.0010894,              0.0010894
                     10,                0.57714,                0.48406,                0.93414,                0.91375,                0.75732,                0.80894,                0.67656,                0.47796,                0.37796,                0.76434,              0.0010069,              0.0010069,              0.0010069
                     11,                0.57725,                0.45645,                0.91578,                0.91944,                0.75035,                0.80398,                0.66561,                0.51184,                0.40641,                0.78401,             0.00092435,             0.00092435,             0.00092435
                     12,                0.54995,                0.43254,                0.90254,                0.91333,                 0.7666,                0.81931,                0.67304,                0.47308,                0.37793,                0.76774,             0.00084184,             0.00084184,             0.00084184
                     13,                0.53324,                0.41449,                0.89822,                0.91745,                0.77587,                0.81725,                0.68745,                0.46038,                0.36157,                0.76875,             0.00075932,             0.00075932,             0.00075932
                     14,                0.52134,                0.40045,                0.89129,                0.91206,                0.78008,                0.82171,                0.68698,                0.44791,                0.35063,                0.75805,              0.0006768,              0.0006768,              0.0006768
                     15,                0.49897,                0.38323,                0.88137,                 0.9349,                0.77772,                0.82758,                0.70377,                 0.4181,                0.33813,                0.74599,             0.00059429,             0.00059429,             0.00059429
                     16,                0.47804,                0.36245,                0.87625,                0.93253,                 0.7864,                0.83584,                0.70984,                0.41097,                0.32548,                0.74629,             0.00051177,             0.00051177,             0.00051177
                     17,                0.45925,                0.35189,                0.86896,                0.94402,                0.77825,                0.83053,                0.70962,                0.40044,                0.31566,                0.74826,             0.00042925,             0.00042925,             0.00042925
                     18,                0.44609,                0.33533,                  0.864,                0.95066,                 0.7844,                 0.8389,                0.72679,                0.38121,                0.30386,                0.74058,             0.00034674,             0.00034674,             0.00034674
                     19,                0.42591,                0.31956,                 0.8555,                0.94719,                0.79839,                0.84412,                0.72972,                0.37094,                0.29414,                0.73496,             0.00026422,             0.00026422,             0.00026422
                     20,                0.40613,                0.30817,                0.85095,                0.94521,                0.79308,                0.84529,                0.73514,                0.34958,                0.27845,                0.72847,              0.0001817,              0.0001817,              0.0001817
